"index";"Company";"TypeName";"Inches";"screen_size";"resolution_width";"resolution_height";"touchscreen";"IPS_Panel";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"gpu_name";"OpSys";"Weight";"price";"ppi"
29;"HP";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";" GeForce 930MX";"windows";"2.5";47739;127
30;"Chuwi";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Atom x5-Z8300";1.4;4;"Flash Storage";64;0;"Intel";" HD Graphics";"windows";"1.89";13053;141
31;"Asus";"Notebook";14.0;"medium";768;1366;0;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";32;0;"AMD";" Radeon R2";"windows";"1.65";10603;112
32;"HP";"Notebook";17.3;"large";1080;1920;0;0;"AMD";"A6-Series 9220";2.5;4;"HDD";500;0;"AMD";" Radeon 530";"windows";"2.71";23390;127
33;"Dell";"Ultrabook";13.3;"small";1800;3200;1;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";"1.2";99580;276
34;"Apple";"Ultrabook";13.3;"small";900;1440;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;"Intel";" HD Graphics 6000";"macos";"1.35";53173;128
35;"Lenovo";"Notebook";14.0;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;"Intel";" HD Graphics 500";"windows";"1.44";13267;112
36;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";"2.1";19554;100
37;"Dell";"Notebook";17.3;"large";1080;1920;0;1;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";" Radeon 530";"windows";"2.8";52161;127
38;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"1.86";26037;100
39;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";" GeForce 930MX ";"windows";"2.1";46833;141
40;"Asus";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 620";"linux";"2";20726;141
41;"Dell";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";"2.65";79867;141
42;"Asus";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";" GeForce 940MX";"linux";"2.3";27865;100
43;"Acer";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"2.2";36337;141
44;"Dell";"2 in 1 Convertible";17.3;"large";1080;1920;1;0;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";" GeForce 150MX";"windows";"2.77";53227;127
45;"Apple";"Ultrabook";13.3;"small";1600;2560;0;1;"Intel";"Core i5";2.0;8;"SSD";256;0;"Intel";" Iris Graphics 540";"macos";"1.37";75604;227
47;"Asus";"Gaming";17.3;"large";1080;1920;0;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";" Radeon RX 580";"windows";"3.2";69211;127
48;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"AMD";" Radeon R5 M430";"windows";"2.3";34046;141
49;"Asus";"Notebook";17.3;"large";768;1366;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"windows";"2.8";24828;91
51;"Acer";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";"2.2";44808;141
52;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"windows";"1.86";21232;141
53;"HP";"Notebook";13.3;"small";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";"1.49";58768;166
54;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"2.4";20460;100
55;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon 520";"windows";"2.13";40908;141
56;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";" HD Graphics 520";"windows";"1.91";23390;141
57;"Asus";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"2";31232;100
58;"MSI";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"windows";"2.43";130483;127
59;"Asus";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";" HD Graphics 520";"linux";"2";22111;141
60;"Dell";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";" Radeon 530";"windows";"2.8";69211;127
61;"Dell";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.7";46833;157
62;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i3";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"N/A";"1.7";31915;157
63;"Asus";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.4";50136;157
64;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.86";36763;141
65;"Asus";"Ultrabook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce GTX 1050 Ti";"windows";"1.8";105654;141
66;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"AMD";" Radeon 520";"windows";"1.86";23373;100
67;"HP";"Notebook";14.0;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.6;4;"SSD";32;0;"Intel";" HD Graphics 400";"windows";"1.44";12201;112
68;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"1.9";29251;141
69;"Asus";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";" GeForce GTX 1050 Ti";"linux";"3";50563;127
70;"Microsoft";"Ultrabook";13.5;"small";1504;2256;1;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";"1.252";58022;201
71;"Dell";"Ultrabook";13.3;"small";1080;1920;0;1;"Intel";"Core i7";1.8;64;"SSD";256;0;"AMD";" Radeon 530";"windows";"1.4";50882;166
72;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";" Radeon 530";"windows";"2.2";46354;141
73;"MSI";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";"2.7";58342;127
74;"Acer";"Notebook";14.0;"medium";768;1366;0;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";"2.1";20726;112
75;"Asus";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";" GeForce GTX 1050";"windows";"2.2";50563;141
76;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";" HD Graphics 620";"N/A";"2.2";27652;141
77;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Intel";" UHD Graphics 620";"windows";"2.02";45554;141
78;"Acer";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";" GeForce MX130";"windows";"2.2";28238;141
79;"HP";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";" GeForce 930MX";"windows";"2.5";52055;127
80;"Dell";"Ultrabook";15.6;"medium";1080;1920;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.88";58403;141
81;"Apple";"Ultrabook";12.0;"small";1440;2304;0;1;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";" HD Graphics 615";"macos";"0.92";80453;226
82;"HP";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.63";45821;157
83;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;"AMD";" R4 Graphics";"windows";"2.2";21259;141
84;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";" Radeon R5";"windows";"2.1";21046;100
85;"Dell";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";"2.65";71875;141
86;"HP";"Ultrabook";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 940MX";"windows";"1.83";37243;141
87;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.96";31914;141
88;"Asus";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1060";"windows";"2.2";77203;141
89;"Dell";"Ultrabook";13.3;"small";1080;1920;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.21";87859;166
90;"Asus";"Gaming";15.6;"medium";1080;1920;0;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;"AMD";" Radeon RX 560";"windows";"2.45";37243;141
91;"Acer";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;"Nvidia";" GeForce MX150";"windows";"2.2";36710;141
92;"HP";"Notebook";13.3;"small";1080;1920;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";"1.49";63776;166
93;"Dell";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce GTX 1060";"windows";"2.65";63670;141
94;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.25";55891;157
95;"Acer";"2 in 1 Convertible";13.3;"small";1080;1920;1;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.5";45128;166
96;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"AMD";" Radeon R5 M430";"linux";"2.2";31963;141
97;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";" Radeon R5 M430";"linux";"2.2";25841;141
98;"Asus";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.4;6;"SSD";256;0;"Nvidia";" GeForce 920M";"windows";"2";30743;141
99;"HP";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;12;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";"2.62";66547;141
100;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";" Radeon 530";"windows";"1.91";38308;141
101;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";" Radeon R2";"windows";"2.1";18595;141
102;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";" Radeon 520";"linux";"2.2";34472;141
103;"HP";"Ultrabook";13.3;"small";1080;1920;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";" GeForce MX150";"windows";"1.38";59620;166
104;"Microsoft";"Ultrabook";13.5;"small";1504;2256;1;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.252";71395;201
105;"HP";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i5";2.5;6;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";"1.58";35112;157
106;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";"1.85";22106;141
107;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";"1.3";63563;157
108;"MSI";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1050 Ti";"windows";"2.2";69211;141
109;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.58";78854;157
110;"Asus";"Ultrabook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;1024;"Nvidia";" GeForce MX150";"windows";"1.5";67239;141
111;"Dell";"Ultrabook";13.3;"small";1800;3200;1;0;"Intel";"Core i7";2.4;8;"SSD";256;0;"Intel";" Iris Plus Graphics 640";"windows";"1.23";73473;276
112;"Lenovo";"2 in 1 Convertible";13.3;"small";1080;1920;1;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.37";74539;166
113;"HP";"Notebook";14.0;"medium";768;1366;0;1;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";" UHD Graphics 620";"windows";"1.63";38468;112
114;"Dell";"Ultrabook";13.3;"small";1080;1920;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.21";86793;166
116;"HP";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";" UHD Graphics 620";"windows";"1.63";57756;157
117;"Dell";"Notebook";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";1.8;8;"Hybrid";256;1024;"Nvidia";" GeForce 940MX";"windows";"2.16";60224;141
118;"Asus";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"windows";"2";30050;127
119;"Asus";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"windows";"1.7";59567;141
120;"Acer";"Notebook";15.6;"medium";1080;1920;1;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"2.1";25521;141
121;"MSI";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";" GeForce GTX 1070";"windows";"1.8";119427;141
122;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";" GeForce 940MX";"N/A";"2.2";33513;141
123;"HP";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";" GeForce 930MX ";"windows";"2.5";67719;127
124;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";" Radeon R5";"windows";"2.1";24029;100
126;"HP";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Intel";" UHD Graphics 620";"windows";"1.63";43263;157
127;"Asus";"Notebook";14.0;"medium";768;1366;0;0;"AMD";"E-Series 6110";1.5;4;"SSD";64;0;"AMD";" Radeon R2";"windows";"1.65";14811;112
128;"Dell";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";" Radeon 530";"windows";"2.8";74379;127
129;"HP";"Notebook";17.3;"large";1080;1920;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"2.5";49444;127
130;"Dell";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";" Radeon R7 M445";"windows";"2.36";34045;100
131;"Dell";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";" Radeon R5 M430";"windows";"2.2";23923;141
132;"Acer";"Ultrabook";14.0;"medium";1080;1920;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.6";47100;157
133;"Acer";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";" GeForce MX130";"windows";"7.2";30476;141
134;"HP";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Intel";" HD Graphics 620";"windows";"2.05";31861;100
135;"HP";"Notebook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.63";52641;157
136;"Lenovo";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"N/A";"1.9";13446;100
137;"Asus";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";" GeForce GTX 1050";"windows";"3";49977;127
138;"Lenovo";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Nvidia";" GeForce 920MX";"N/A";"2.2";26587;141
139;"HP";"Notebook";13.3;"small";1080;1920;0;1;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.32";37243;166
140;"Acer";"Notebook";17.3;"large";1080;1920;0;1;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";" GeForce MX130";"windows";"3";34898;127
141;"Lenovo";"Notebook";14.0;"medium";1080;1920;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";" Radeon RX 550";"windows";"1.75";59462;157
142;"Lenovo";"Gaming";15.6;"medium";1080;1920;0;1;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";" GeForce GTX 1050M";"N/A";"2.4";46300;141
143;"Toshiba";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.3;4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";"2.1";32075;100
144;"HP";"Notebook";15.6;"medium";768;1366;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";" Radeon R4 Graphics";"windows";"1.86";19660;100
145;"Asus";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.25";58555;157
146;"HP";"Ultrabook";12.5;"small";2160;3840;1;1;"Intel";"Core M";1.2;8;"SSD";512;0;"Intel";" HD Graphics 515";"windows";"0.97";107306;352
147;"Asus";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";" HD Graphics 500";"windows";"2";18328;141
149;"Acer";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";" HD Graphics 520";"windows";"2.1";23816;100
150;"Dell";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";" GeForce GTX 1050";"windows";"2.56";66561;141
151;"Dell";"Gaming";15.6;"medium";1080;1920;0;0;"Intel";"Core i7";2.8;8;"Hybrid";1024;0;"Nvidia";" GeForce GTX 1050";"windows";"2.62";47899;141
152;"Lenovo";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";" HD Graphics 620";"windows";"1.9";26533;100
153;"MSI";"Gaming";17.3;"large";1080;1920;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";" GeForce GTX 1060";"windows";"2.8";100699;127
154;"HP";"Ultrabook";14.0;"medium";1080;1920;0;0;"Intel";"Core i5";2.7;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.48";57649;157
155;"HP";"Notebook";15.6;"medium";1080;1920;0;0;"Intel";"Core i5";1.6;6;"SSD";256;0;"AMD";" Radeon 520";"windows";"1.91";32980;141
156;"Lenovo";"2 in 1 Convertible";14.0;"medium";1080;1920;1;1;"Intel";"Core i3";2.4;4;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.74";33513;157
157;"Asus";"2 in 1 Convertible";13.3;"small";1080;1920;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";" HD Graphics 620";"windows";"1.1";70063;166
158;"Dell";"2 in 1 Convertible";15.6;"medium";1080;1920;1;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";" UHD Graphics 620";"windows";"1.56";55891;141
159;"Toshiba";"Notebook";15.6;"medium";768;1366;0;0;"Intel";"Core i3";2.2;4;"HDD";500;0;"Intel";" HD Graphics 520";"windows";"2.1";23816;100
160;"Asus";"Notebook";15.6;"medium";768;1366;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";" Radeon R5 M420";"windows";"2.03";21472;100
