"index";"Company";"TypeName";"price_bracket"
159;"Toshiba";"Notebook";"30000"
160;"Asus";"Notebook";"30000"
161;"Acer";"Notebook";"50000"
162;"Dell";"Notebook";"30000"
163;"Lenovo";"Gaming";"50000"
164;"Acer";"Notebook";"10000"
165;"MSI";"Gaming";"90000"
166;"Acer";"Notebook";"10000"
167;"Dell";"Gaming";"50000"
168;"Acer";"Notebook";"50000"
169;"HP";"Notebook";"50000"
170;"Huawei";"Ultrabook";"70000"
171;"HP";"Notebook";"30000"
172;"Lenovo";"Notebook";"10000"
173;"Toshiba";"Notebook";"30000"
174;"HP";"Notebook";"50000"
175;"Dell";"Notebook";"30000"
176;"Acer";"Notebook";"30000"
177;"MSI";"Gaming";""
178;"Lenovo";"Notebook";"50000"
179;"HP";"2 in 1 Convertible";"70000"
180;"Dell";"Notebook";"50000"
181;"Dell";"Ultrabook";"70000"
182;"Lenovo";"2 in 1 Convertible";"90000"
183;"Toshiba";"Notebook";"50000"
184;"Xiaomi";"Notebook";"70000"
185;"Dell";"Notebook";"90000"
186;"Dell";"Notebook";"130000"
187;"Lenovo";"Gaming";"50000"
188;"Acer";"Ultrabook";"50000"
189;"Dell";"Notebook";"50000"
191;"Vero";"Notebook";"10000"
192;"Xiaomi";"Ultrabook";"50000"
193;"Lenovo";"Notebook";"30000"
194;"Dell";"2 in 1 Convertible";"50000"
195;"HP";"Notebook";"50000"
196;"Razer";"Gaming";""
197;"HP";"Notebook";"50000"
198;"HP";"Gaming";"70000"
199;"HP";"Notebook";"50000"
200;"Dell";"Gaming";"90000"
201;"Lenovo";"Notebook";"30000"
202;"Acer";"Notebook";"30000"
203;"Lenovo";"Gaming";"90000"
204;"Dell";"Workstation";""
205;"Lenovo";"Gaming";"70000"
206;"Dell";"Notebook";"30000"
207;"Dell";"Ultrabook";"110000"
208;"Dell";"Ultrabook";"70000"
210;"Acer";"Notebook";"50000"
211;"Asus";"Gaming";"70000"
212;"HP";"Notebook";"10000"
213;"Lenovo";"Notebook";"30000"
214;"Huawei";"Ultrabook";"70000"
215;"Dell";"Ultrabook";"50000"
216;"Lenovo";"Notebook";"30000"
217;"HP";"Notebook";"50000"
218;"Dell";"Ultrabook";"70000"
219;"Dell";"2 in 1 Convertible";"70000"
220;"Dell";"Notebook";"30000"
221;"Lenovo";"2 in 1 Convertible";"50000"
222;"Toshiba";"Ultrabook";"70000"
223;"HP";"Notebook";"50000"
224;"Dell";"Gaming";"130000"
225;"Acer";"Notebook";"50000"
226;"Dell";"Notebook";"50000"
227;"Asus";"Notebook";"50000"
228;"Asus";"Notebook";"50000"
229;"HP";"Notebook";"70000"
230;"Asus";"Notebook";"30000"
231;"HP";"Notebook";"10000"
232;"Lenovo";"Gaming";"70000"
233;"Dell";"Notebook";"50000"
234;"Acer";"2 in 1 Convertible";"30000"
235;"Dell";"Notebook";"50000"
236;"Acer";"Notebook";"30000"
237;"Asus";"Notebook";"30000"
238;"Asus";"Gaming";""
239;"Acer";"Gaming";"50000"
240;"Lenovo";"Notebook";"30000"
241;"Asus";"Notebook";"70000"
242;"Asus";"Notebook";"50000"
243;"Dell";"Gaming";"50000"
244;"Lenovo";"2 in 1 Convertible";"50000"
245;"Dell";"Notebook";"50000"
246;"HP";"Notebook";"30000"
247;"Asus";"Gaming";""
248;"HP";"Notebook";"30000"
249;"Apple";"Ultrabook";"110000"
250;"Dell";"2 in 1 Convertible";"50000"
251;"Asus";"Gaming";"90000"
252;"Asus";"Notebook";"30000"
253;"Lenovo";"2 in 1 Convertible";"90000"
254;"Acer";"Notebook";"30000"
255;"Dell";"Ultrabook";"50000"
256;"HP";"Notebook";"30000"
257;"HP";"Notebook";"50000"
258;"MSI";"Gaming";"130000"
259;"Lenovo";"2 in 1 Convertible";"90000"
260;"Dell";"Notebook";"70000"
261;"Lenovo";"Notebook";"30000"
262;"HP";"Notebook";"30000"
263;"Dell";"Notebook";"30000"
264;"Dell";"Notebook";"30000"
265;"Dell";"2 in 1 Convertible";"50000"
266;"Asus";"2 in 1 Convertible";"70000"
268;"HP";"Notebook";"50000"
269;"Lenovo";"Notebook";"50000"
270;"Apple";"Ultrabook";"110000"
271;"Asus";"Gaming";"90000"
272;"Dell";"Notebook";"30000"
273;"Lenovo";"2 in 1 Convertible";"130000"
274;"Toshiba";"Notebook";"50000"
275;"Dell";"Notebook";"30000"
276;"Dell";"Notebook";"50000"
277;"Acer";"Notebook";"30000"
278;"Lenovo";"Notebook";"30000"
279;"Lenovo";"Notebook";"50000"
280;"Lenovo";"Notebook";"50000"
281;"Dell";"Notebook";"30000"
282;"Lenovo";"Gaming";"50000"
283;"Lenovo";"Notebook";"30000"
284;"Acer";"Notebook";"50000"
285;"Acer";"Notebook";"30000"
286;"Lenovo";"Notebook";"50000"
287;"Asus";"Ultrabook";"50000"
288;"Lenovo";"Gaming";"70000"
289;"Lenovo";"Notebook";"30000"
290;"Acer";"Notebook";"10000"
291;"Asus";"Gaming";"70000"
292;"HP";"Notebook";"30000"
293;"Dell";"Notebook";"90000"
294;"Lenovo";"Notebook";"30000"
295;"Lenovo";"Gaming";"70000"
296;"Acer";"Notebook";"50000"
297;"Dell";"Workstation";""
298;"Lenovo";"Notebook";"30000"
299;"Asus";"Ultrabook";"70000"
300;"Asus";"Notebook";"30000"
301;"Asus";"Gaming";"110000"
302;"Lenovo";"Notebook";"30000"
303;"Lenovo";"Notebook";"30000"
304;"Asus";"Gaming";"70000"
305;"Lenovo";"Notebook";"10000"
306;"HP";"2 in 1 Convertible";"110000"
307;"Toshiba";"Notebook";"50000"
308;"Lenovo";"Notebook";"50000"
309;"HP";"Notebook";"30000"
310;"Lenovo";"Notebook";"50000"
311;"Dell";"Ultrabook";"130000"
312;"MSI";"Gaming";"110000"
313;"Acer";"Notebook";"30000"
314;"Asus";"2 in 1 Convertible";"10000"
315;"Dell";"Notebook";"50000"
316;"HP";"2 in 1 Convertible";"130000"
317;"Lenovo";"Notebook";"30000"
318;"HP";"Notebook";"50000"
319;"Acer";"Notebook";"30000"
320;"HP";"Notebook";"70000"
321;"Lenovo";"Notebook";"30000"
322;"Asus";"Notebook";"50000"
323;"HP";"Notebook";"50000"
324;"Acer";"Notebook";"30000"
325;"Lenovo";"Notebook";"10000"
326;"Acer";"Notebook";"30000"
327;"Asus";"Ultrabook";"50000"
328;"HP";"Ultrabook";"70000"
329;"Dell";"Notebook";""
330;"MSI";"Gaming";"70000"
331;"Toshiba";"Notebook";"50000"
332;"Asus";"Notebook";"70000"
333;"Lenovo";"Notebook";"30000"
334;"Asus";"Gaming";"50000"
335;"HP";"Notebook";"70000"
337;"HP";"Notebook";"70000"
338;"Asus";"Notebook";"10000"
339;"Dell";"Notebook";"70000"
340;"Dell";"Notebook";"10000"
341;"Lenovo";"Notebook";"50000"
342;"HP";"Notebook";"30000"
343;"Lenovo";"2 in 1 Convertible";"110000"
344;"Dell";"Ultrabook";"90000"
345;"Lenovo";"Gaming";"70000"
346;"HP";"Notebook";"10000"
347;"Dell";"Ultrabook";"90000"
348;"Asus";"2 in 1 Convertible";"10000"
349;"Dell";"Ultrabook";"30000"
351;"HP";"Notebook";"70000"
352;"MSI";"Gaming";"70000"
353;"HP";"Workstation";"90000"
354;"Toshiba";"Notebook";"70000"
355;"Dell";"Notebook";"50000"
356;"Lenovo";"Notebook";"10000"
357;"Dell";"Gaming";"50000"
358;"Dell";"Notebook";"30000"
359;"Dell";"Notebook";"70000"
360;"HP";"Notebook";"30000"
361;"Asus";"Notebook";"50000"
362;"Lenovo";"Notebook";"30000"
363;"HP";"Notebook";"30000"
364;"Lenovo";"Notebook";"30000"
365;"HP";"Notebook";"30000"
366;"Dell";"Notebook";"50000"
367;"Lenovo";"Gaming";"50000"
368;"Dell";"Notebook";"50000"
369;"HP";"Ultrabook";"90000"
370;"Asus";"2 in 1 Convertible";"50000"
371;"Acer";"Notebook";"30000"
372;"Asus";"Gaming";"110000"
373;"Lenovo";"Notebook";"30000"
374;"Dell";"2 in 1 Convertible";"50000"
375;"HP";"Notebook";"30000"
376;"Lenovo";"Netbook";"30000"
377;"Dell";"Notebook";"10000"
378;"Asus";"Notebook";"10000"
379;"Acer";"Notebook";"50000"
380;"HP";"Gaming";"70000"
381;"Lenovo";"Notebook";"30000"
382;"Asus";"Gaming";"90000"
383;"Lenovo";"Notebook";"50000"
384;"Asus";"Ultrabook";"90000"
385;"Lenovo";"Ultrabook";"130000"
386;"Lenovo";"Notebook";"30000"
387;"Dell";"Workstation";"70000"
388;"Dell";"Workstation";"110000"
389;"Lenovo";"2 in 1 Convertible";"130000"
390;"Asus";"Gaming";"50000"
391;"Asus";"Gaming";"90000"
392;"Acer";"Notebook";"30000"
393;"MSI";"Gaming";"70000"
394;"Dell";"Notebook";"50000"
395;"HP";"Ultrabook";"30000"
396;"Lenovo";"Notebook";"70000"
397;"Lenovo";"Notebook";"50000"
398;"Dell";"Workstation";""
399;"Lenovo";"Ultrabook";"130000"
400;"Lenovo";"Notebook";"10000"
401;"Asus";"Gaming";"90000"
402;"Lenovo";"Notebook";"70000"
403;"Acer";"Notebook";"50000"
404;"MSI";"Gaming";"110000"
405;"Asus";"Ultrabook";"90000"
406;"Toshiba";"Ultrabook";"90000"
407;"Dell";"Ultrabook";"90000"
408;"Lenovo";"Notebook";"30000"
409;"Lenovo";"Notebook";"10000"
410;"Lenovo";"Workstation";"110000"
411;"Lenovo";"Ultrabook";"110000"
412;"HP";"Notebook";"30000"
413;"Acer";"2 in 1 Convertible";"50000"
414;"Asus";"2 in 1 Convertible";"50000"
415;"Dell";"Notebook";"30000"
416;"Dell";"Notebook";"30000"
417;"HP";"Ultrabook";"70000"
418;"Dell";"Notebook";"30000"
419;"Lenovo";"Ultrabook";"70000"
420;"Lenovo";"2 in 1 Convertible";"110000"
421;"Chuwi";"Notebook";"30000"
422;"HP";"Notebook";"70000"
423;"Asus";"Notebook";"30000"
424;"Dell";"Gaming";""
425;"Dell";"Gaming";"70000"
426;"Dell";"Notebook";"70000"
427;"Dell";"Ultrabook";"50000"
428;"HP";"Gaming";"110000"
429;"Mediacom";"2 in 1 Convertible";"10000"
430;"Samsung";"Netbook";"10000"
431;"Lenovo";"Notebook";"50000"
432;"Lenovo";"Notebook";"30000"
433;"Lenovo";"Workstation";"130000"
434;"Lenovo";"Notebook";"130000"
435;"Asus";"Gaming";"90000"
436;"HP";"Notebook";"10000"
437;"Google";"Ultrabook";"110000"
438;"Lenovo";"Ultrabook";"130000"
439;"Asus";"Notebook";"30000"
440;"Lenovo";"Notebook";"30000"
441;"Dell";"Notebook";"30000"
442;"Lenovo";"Ultrabook";"70000"
443;"Lenovo";"Notebook";"10000"
444;"HP";"Gaming";"50000"
445;"Dell";"Notebook";"70000"
446;"Acer";"Notebook";"30000"
447;"Dell";"Workstation";"110000"
448;"MSI";"Gaming";"50000"
449;"Microsoft";"Ultrabook";"130000"
450;"HP";"Notebook";"30000"
451;"Dell";"Workstation";"110000"
452;"HP";"Workstation";"90000"
453;"Lenovo";"Notebook";"70000"
454;"Dell";"Notebook";"50000"
455;"Dell";"2 in 1 Convertible";"30000"
456;"Dell";"Notebook";"110000"
457;"Microsoft";"Ultrabook";"50000"
458;"Microsoft";"Ultrabook";"90000"
459;"HP";"Notebook";"30000"
460;"Acer";"Notebook";"30000"
461;"Acer";"Netbook";"30000"
462;"Asus";"Notebook";"30000"
463;"Lenovo";"Notebook";"50000"
464;"Lenovo";"Notebook";"110000"
465;"Asus";"Notebook";"10000"
466;"Acer";"Notebook";"30000"
467;"Dell";"Notebook";"50000"
468;"HP";"Gaming";"90000"
469;"Lenovo";"Ultrabook";"90000"
470;"HP";"2 in 1 Convertible";"110000"
471;"HP";"Notebook";"70000"
472;"Google";"Ultrabook";"70000"
473;"Dell";"Ultrabook";"90000"
474;"Asus";"Notebook";"70000"
475;"Dell";"Notebook";"30000"
477;"Lenovo";"Notebook";"70000"
479;"Toshiba";"Notebook";"90000"
480;"Dell";"Notebook";"70000"
481;"Dell";"Notebook";"30000"
482;"HP";"Notebook";"30000"
483;"Chuwi";"Notebook";"10000"
484;"Lenovo";"Notebook";"30000"
485;"Lenovo";"Notebook";"50000"
486;"Dell";"Workstation";"130000"
487;"Dell";"Notebook";"110000"
488;"Lenovo";"Ultrabook";"90000"
489;"Asus";"Ultrabook";"110000"
490;"Lenovo";"Notebook";"50000"
491;"Toshiba";"Ultrabook";""
492;"Asus";"Gaming";"70000"
493;"Acer";"Notebook";"30000"
494;"Asus";"Gaming";"70000"
495;"Lenovo";"Ultrabook";"50000"
496;"Lenovo";"Notebook";"50000"
497;"HP";"Notebook";"90000"
498;"Lenovo";"Notebook";"50000"
499;"Lenovo";"Notebook";"50000"
500;"Asus";"Netbook";"10000"
501;"HP";"Notebook";"30000"
502;"Lenovo";"2 in 1 Convertible";"90000"
503;"Lenovo";"Notebook";"10000"
504;"Lenovo";"Netbook";"10000"
505;"Lenovo";"Notebook";"50000"
506;"Asus";"Notebook";"70000"
507;"Acer";"Notebook";"30000"
508;"HP";"Ultrabook";"70000"
509;"Lenovo";"Gaming";"70000"
510;"Dell";"Ultrabook";"50000"
511;"Acer";"Notebook";"30000"
512;"Dell";"Notebook";"50000"
513;"Dell";"Notebook";"70000"
514;"Xiaomi";"Notebook";"70000"
515;"Asus";"Netbook";"10000"
516;"HP";"Notebook";"30000"
517;"Asus";"Gaming";""
518;"HP";"Notebook";"50000"
519;"Asus";"Gaming";"90000"
520;"Lenovo";"Gaming";"70000"
521;"HP";"Ultrabook";"70000"
522;"Dell";"Notebook";"70000"
523;"HP";"Notebook";"30000"
524;"Dell";"Notebook";"50000"
525;"Lenovo";"Notebook";"70000"
526;"Lenovo";"Notebook";"50000"
527;"Lenovo";"Notebook";"30000"
528;"Dell";"Notebook";"30000"
529;"Dell";"Notebook";"70000"
530;"Dell";"Gaming";""
531;"Toshiba";"Notebook";"50000"
532;"Asus";"Notebook";"70000"
533;"Mediacom";"Notebook";"10000"
534;"Asus";"Gaming";"90000"
535;"Dell";"Notebook";"70000"
536;"Dell";"Notebook";"50000"
537;"HP";"Notebook";"30000"
538;"HP";"Gaming";"90000"
539;"Lenovo";"Notebook";"50000"
540;"Dell";"Ultrabook";"70000"
541;"Dell";"Notebook";"30000"
542;"HP";"Ultrabook";"70000"
543;"Acer";"Gaming";"50000"
544;"Asus";"Notebook";"10000"
545;"HP";"Notebook";"30000"
546;"Lenovo";"Notebook";"50000"
547;"Lenovo";"Notebook";"30000"
548;"HP";"Notebook";"30000"
549;"Lenovo";"Notebook";"90000"
550;"Lenovo";"Notebook";"30000"
551;"Dell";"Notebook";"50000"
552;"Dell";"Gaming";""
553;"HP";"Notebook";"30000"
554;"HP";"Notebook";"70000"
555;"Asus";"Notebook";"10000"
556;"Mediacom";"Notebook";"10000"
557;"Lenovo";"Notebook";"50000"
558;"HP";"Notebook";"30000"
559;"Dell";"Notebook";"30000"
560;"Acer";"2 in 1 Convertible";"10000"
561;"Lenovo";"Notebook";"30000"
562;"HP";"Ultrabook";"110000"
563;"Lenovo";"Notebook";""
564;"Asus";"Notebook";"50000"
565;"Dell";"Ultrabook";"90000"
566;"Dell";"Notebook";"50000"
568;"Lenovo";"Notebook";"10000"
569;"Lenovo";"Notebook";"50000"
570;"HP";"Workstation";"90000"
571;"HP";"Notebook";"30000"
572;"HP";"Notebook";"30000"
573;"Lenovo";"Notebook";"50000"
574;"Lenovo";"Notebook";"30000"
575;"Mediacom";"Notebook";"10000"
576;"Toshiba";"Ultrabook";"90000"
577;"Lenovo";"Gaming";""
578;"MSI";"Gaming";""
579;"Dell";"Notebook";"30000"
580;"Mediacom";"Notebook";"30000"
581;"Dell";"Notebook";"50000"
582;"HP";"Notebook";"30000"
583;"Dell";"Notebook";"90000"
584;"Dell";"Netbook";"10000"
585;"MSI";"Gaming";"130000"
586;"HP";"Gaming";"70000"
587;"Lenovo";"Ultrabook";"90000"
588;"Lenovo";"Notebook";"30000"
589;"Asus";"Gaming";"90000"
590;"Asus";"2 in 1 Convertible";"30000"
591;"Lenovo";"Notebook";"50000"
592;"Dell";"2 in 1 Convertible";"30000"
593;"Samsung";"Notebook";"90000"
594;"Lenovo";"Notebook";"30000"
595;"Lenovo";"Notebook";"30000"
596;"Lenovo";"2 in 1 Convertible";"110000"
597;"Lenovo";"Notebook";"70000"
598;"Dell";"2 in 1 Convertible";"90000"
599;"Dell";"Workstation";"90000"
600;"HP";"Notebook";"70000"
601;"HP";"Notebook";"30000"
602;"Acer";"Notebook";"10000"
603;"MSI";"Gaming";"110000"
604;"Dell";"Notebook";"30000"
605;"MSI";"Gaming";"130000"
606;"Toshiba";"Notebook";"70000"
607;"Lenovo";"Notebook";"30000"
608;"Lenovo";"2 in 1 Convertible";"70000"
609;"Acer";"Notebook";"10000"
610;"Lenovo";"Notebook";""
611;"Dell";"Gaming";"50000"
612;"Dell";"Notebook";"30000"
613;"Dell";"Notebook";"10000"
614;"Dell";"Notebook";"50000"
615;"Asus";"Gaming";"70000"
617;"HP";"Ultrabook";"70000"
618;"MSI";"Gaming";"130000"
619;"Acer";"2 in 1 Convertible";"30000"
620;"HP";"Notebook";"50000"
621;"Lenovo";"Notebook";"70000"
622;"Dell";"Notebook";"50000"
623;"Fujitsu";"Notebook";"50000"
624;"HP";"Notebook";"50000"
626;"Mediacom";"Notebook";"10000"
627;"Lenovo";"Notebook";"30000"
628;"Asus";"2 in 1 Convertible";"30000"
630;"Asus";"Ultrabook";"110000"
631;"Dell";"Gaming";"70000"
632;"Lenovo";"Notebook";"50000"
633;"Lenovo";"Notebook";"30000"
634;"Asus";"Notebook";"30000"
635;"Asus";"Notebook";"50000"
636;"Dell";"Ultrabook";"90000"
637;"Lenovo";"Notebook";"10000"
638;"Lenovo";"2 in 1 Convertible";"90000"
639;"Dell";"Notebook";"130000"
640;"Lenovo";"Gaming";"50000"
641;"HP";"Notebook";"30000"
642;"Lenovo";"Ultrabook";"130000"
643;"Asus";"Gaming";"70000"
644;"Acer";"Notebook";"30000"
645;"Lenovo";"Notebook";"10000"
646;"Acer";"Ultrabook";"50000"
647;"Razer";"Gaming";"130000"
648;"Toshiba";"Notebook";"70000"
649;"Lenovo";"Ultrabook";"90000"
650;"Asus";"Gaming";""
651;"Acer";"Gaming";"30000"
652;"Dell";"Ultrabook";"70000"
653;"MSI";"Gaming";"70000"
654;"HP";"Notebook";"10000"
655;"Toshiba";"Notebook";"50000"
656;"Dell";"Notebook";"50000"
657;"Dell";"Notebook";"70000"
658;"Lenovo";"Gaming";"70000"
659;"Dell";"Gaming";""
660;"Dell";"Notebook";"70000"
661;"Lenovo";"Notebook";"30000"
662;"Lenovo";"Notebook";"30000"
663;"HP";"Notebook";"30000"
664;"MSI";"Gaming";"70000"
665;"Toshiba";"Notebook";"30000"
667;"HP";"Notebook";"30000"
668;"Toshiba";"Notebook";"70000"
669;"Acer";"Notebook";"30000"
670;"Microsoft";"Ultrabook";"90000"
671;"Lenovo";"Notebook";"50000"
672;"Lenovo";"2 in 1 Convertible";"50000"
673;"Lenovo";"Notebook";"10000"
674;"HP";"2 in 1 Convertible";"30000"
675;"MSI";"Gaming";"70000"
676;"Asus";"Ultrabook";"70000"
677;"HP";"2 in 1 Convertible";"30000"
678;"LG";"Ultrabook";"130000"
679;"Acer";"Gaming";"70000"
680;"MSI";"Gaming";"50000"
681;"Asus";"Notebook";"30000"
682;"Dell";"Gaming";"110000"
683;"HP";"Notebook";"30000"
684;"Lenovo";"2 in 1 Convertible";"70000"
685;"Dell";"Gaming";""
686;"HP";"Notebook";"30000"
687;"Dell";"Notebook";"30000"
688;"HP";"Notebook";"30000"
689;"Lenovo";"Notebook";"10000"
690;"Acer";"Notebook";"10000"
691;"Lenovo";"Notebook";"30000"
692;"HP";"Workstation";"110000"
693;"Lenovo";"2 in 1 Convertible";"130000"
694;"Toshiba";"Notebook";"50000"
695;"Acer";"Netbook";"10000"
696;"Lenovo";"2 in 1 Convertible";"90000"
697;"Asus";"2 in 1 Convertible";"30000"
698;"Toshiba";"Ultrabook";"110000"
700;"Dell";"Gaming";"50000"
701;"Lenovo";"Notebook";"30000"
702;"Lenovo";"Notebook";"30000"
703;"Lenovo";"Notebook";"30000"
704;"Lenovo";"Notebook";"30000"
705;"Dell";"Notebook";"50000"
706;"Acer";"2 in 1 Convertible";"50000"
707;"Lenovo";"Workstation";"90000"
708;"Lenovo";"Notebook";"70000"
709;"HP";"Notebook";"30000"
710;"Lenovo";"Gaming";"70000"
711;"Dell";"Notebook";"50000"
712;"Dell";"Notebook";"30000"
713;"Asus";"Notebook";"10000"
714;"Dell";"Notebook";"70000"
715;"Lenovo";"Notebook";"50000"
716;"Dell";"Notebook";"70000"
717;"Lenovo";"Notebook";"10000"
718;"Mediacom";"Notebook";"10000"
719;"HP";"Notebook";"70000"
720;"Lenovo";"Ultrabook";"90000"
721;"HP";"2 in 1 Convertible";"50000"
722;"Lenovo";"Ultrabook";"70000"
723;"Dell";"Gaming";""
724;"MSI";"Gaming";"70000"
725;"Lenovo";"Notebook";"30000"
727;"Dell";"2 in 1 Convertible";"30000"
728;"Dell";"Notebook";"30000"
729;"HP";"Notebook";"30000"
730;"Acer";"Gaming";"110000"
731;"Dell";"Notebook";"30000"
732;"HP";"Notebook";"30000"
733;"Acer";"Notebook";"30000"
734;"Lenovo";"Notebook";"50000"
735;"Lenovo";"Notebook";"50000"
736;"HP";"Workstation";"130000"
737;"Dell";"2 in 1 Convertible";"30000"
738;"MSI";"Gaming";"110000"
739;"Acer";"Notebook";"30000"
740;"Dell";"Notebook";"70000"
741;"Dell";"Notebook";"30000"
742;"Toshiba";"Notebook";"90000"
743;"Lenovo";"2 in 1 Convertible";"50000"
744;"Lenovo";"Workstation";""
745;"Acer";"Notebook";"10000"
746;"Samsung";"Ultrabook";"90000"
748;"Dell";"Notebook";"70000"
749;"HP";"Workstation";""
750;"Lenovo";"Netbook";"30000"
751;"HP";"Notebook";"110000"
752;"Asus";"Notebook";"30000"
